Falzhobel,Substantiv,"Falz,Hobel",m,Falzhobel,,,,,,,,,Falzhobel,,,,,,,,,Falzhobels,,,,,,,,,Falzhobel,,,,,,,,,Falzhobel,,,,,,,,,Falzhobeln,,,,,,,,,Falzhobel,,,,,,,,,Falzhobel,,,,,,,,
Fangmesser,Substantiv,"fangen,Messer",n,Fangmesser,,,,,,,,,Fangmesser,,,,,,,,,Fangmessers,,,,,,,,,Fangmesser,,,,,,,,,Fangmesser,,,,,,,,,Fangmessern,,,,,,,,,Fangmesser,,,,,,,,,Fangmesser,,,,,,,,
Farbstift,Substantiv,"Farbe,Stift",m,Farbstift,,,,,,,,,Farbstifte,,,,,,,,,Farbstiftes,Farbstifts,,,,,,,,Farbstifte,,,,,,,,,Farbstift,Farbstifte,,,,,,,,Farbstiften,,,,,,,,,Farbstift,,,,,,,,,Farbstifte,,,,,,,,
Faschiermaschine,Substantiv,"faschieren,Maschine",f,Faschiermaschine,,,,,,,,,Faschiermaschinen,,,,,,,,,Faschiermaschine,,,,,,,,,Faschiermaschinen,,,,,,,,,Faschiermaschine,,,,,,,,,Faschiermaschinen,,,,,,,,,Faschiermaschine,,,,,,,,,Faschiermaschinen,,,,,,,,
Faustkeil,Substantiv,,m,Faustkeil,,,,,,,,,Faustkeile,,,,,,,,,Faustkeiles,Faustkeils,,,,,,,,Faustkeile,,,,,,,,,Faustkeil,Faustkeile,,,,,,,,Faustkeilen,,,,,,,,,Faustkeil,,,,,,,,,Faustkeile,,,,,,,,
Feile,Substantiv,,f,Feile,,,,,,,,,Feilen,,,,,,,,,Feile,,,,,,,,,Feilen,,,,,,,,,Feile,,,,,,,,,Feilen,,,,,,,,,Feile,,,,,,,,,Feilen,,,,,,,,
Feinsäge,Substantiv,"fein,Säge",f,Feinsäge,,,,,,,,,Feinsägen,,,,,,,,,Feinsäge,,,,,,,,,Feinsägen,,,,,,,,,Feinsäge,,,,,,,,,Feinsägen,,,,,,,,,Feinsäge,,,,,,,,,Feinsägen,,,,,,,,
Filetiermaschine,Substantiv,"filetieren,Maschine",f,Filetiermaschine,,,,,,,,,Filetiermaschinen,,,,,,,,,Filetiermaschine,,,,,,,,,Filetiermaschinen,,,,,,,,,Filetiermaschine,,,,,,,,,Filetiermaschinen,,,,,,,,,Filetiermaschine,,,,,,,,,Filetiermaschinen,,,,,,,,
Fischmesser,Substantiv,"Fisch,Messer",n,Fischmesser,,,,,,,,,Fischmesser,,,,,,,,,Fischmessers,,,,,,,,,Fischmesser,,,,,,,,,Fischmesser,,,,,,,,,Fischmessern,,,,,,,,,Fischmesser,,,,,,,,,Fischmesser,,,,,,,,
Flachfeile,Substantiv,"flach,Feile",f,Flachfeile,,,,,,,,,Flachfeilen,,,,,,,,,Flachfeile,,,,,,,,,Flachfeilen,,,,,,,,,Flachfeile,,,,,,,,,Flachfeilen,,,,,,,,,Flachfeile,,,,,,,,,Flachfeilen,,,,,,,,
Flaschenbürste,Substantiv,"Flasche,Bürste",f,Flaschenbürste,,,,,,,,,Flaschenbürsten,,,,,,,,,Flaschenbürste,,,,,,,,,Flaschenbürsten,,,,,,,,,Flaschenbürste,,,,,,,,,Flaschenbürsten,,,,,,,,,Flaschenbürste,,,,,,,,,Flaschenbürsten,,,,,,,,
Fleischgabel,Substantiv,"Fleisch,Gabel",f,Fleischgabel,,,,,,,,,Fleischgabeln,,,,,,,,,Fleischgabel,,,,,,,,,Fleischgabeln,,,,,,,,,Fleischgabel,,,,,,,,,Fleischgabeln,,,,,,,,,Fleischgabel,,,,,,,,,Fleischgabeln,,,,,,,,
Fleischhauermesser,Substantiv,"Fleischhauer,Messer",n,Fleischhauermesser,,,,,,,,,Fleischhauermesser,,,,,,,,,Fleischhauermessers,,,,,,,,,Fleischhauermesser,,,,,,,,,Fleischhauermesser,,,,,,,,,Fleischhauermessern,,,,,,,,,Fleischhauermesser,,,,,,,,,Fleischhauermesser,,,,,,,,
Forke,Substantiv,,f,Forke,,,,,,,,,Forken,,,,,,,,,Forke,,,,,,,,,Forken,,,,,,,,,Forke,,,,,,,,,Forken,,,,,,,,,Forke,,,,,,,,,Forken,,,,,,,,
Franzose,Substantiv,,m,Franzose,,,,,,,,,Franzosen,,,,,,,,,Franzosen,,,,,,,,,Franzosen,,,,,,,,,Franzosen,,,,,,,,,Franzosen,,,,,,,,,Franzosen,,,,,,,,,Franzosen,,,,,,,,
Fräse,Substantiv,,f,Fräse,,,,,,,,,Fräsen,,,,,,,,,Fräse,,,,,,,,,Fräsen,,,,,,,,,Fräse,,,,,,,,,Fräsen,,,,,,,,,Fräse,,,,,,,,,Fräsen,,,,,,,,
Fuchsschwanz,Substantiv,"Fuchs,Schwanz",m,Fuchsschwanz,,,,,,,,,Fuchsschwänze,,,,,,,,,Fuchsschwanzes,,,,,,,,,Fuchsschwänze,,,,,,,,,Fuchsschwanz,Fuchsschwanze,,,,,,,,Fuchsschwänzen,,,,,,,,,Fuchsschwanz,,,,,,,,,Fuchsschwänze,,,,,,,,
Fäustel,Substantiv,,m,Fäustel,,,,,,,,,Fäustel,,,,,,,,,Fäustels,,,,,,,,,Fäustel,,,,,,,,,Fäustel,,,,,,,,,Fäusteln,,,,,,,,,Fäustel,,,,,,,,,Fäustel,,,,,,,,
