lemma,wortart,kompositum,genus,nominativ singular,nominativ singular*,nominativ singular 1,nominativ singular 2,nominativ singular 3,nominativ singular 4,nominativ singular stark,nominativ singular schwach,nominativ singular gemischt,nominativ plural,nominativ plural*,nominativ plural 1,nominativ plural 2,nominativ plural 3,nominativ plural 4,nominativ plural stark,nominativ plural schwach,nominativ plural gemischt,genitiv singular,genitiv singular*,genitiv singular 1,genitiv singular 2,genitiv singular 3,genitiv singular 4,genitiv singular stark,genitiv singular schwach,genitiv singular gemischt,genitiv plural,genitiv plural*,genitiv plural 1,genitiv plural 2,genitiv plural 3,genitiv plural 4,genitiv plural stark,genitiv plural schwach,genitiv plural gemischt,dativ singular,dativ singular*,dativ singular 1,dativ singular 2,dativ singular 3,dativ singular 4,dativ singular stark,dativ singular schwach,dativ singular gemischt,dativ plural,dativ plural*,dativ plural 1,dativ plural 2,dativ plural 3,dativ plural 4,dativ plural stark,dativ plural schwach,dativ plural gemischt,akkusativ singular,akkusativ singular*,akkusativ singular 1,akkusativ singular 2,akkusativ singular 3,akkusativ singular 4,akkusativ singular stark,akkusativ singular schwach,akkusativ singular gemischt,akkusativ plural,akkusativ plural*,akkusativ plural 1,akkusativ plural 2,akkusativ plural 3,akkusativ plural 4,akkusativ plural stark,akkusativ plural schwach,akkusativ plural gemischt
Kultstätte,Substantiv,1,f,Kultstätte,,,,,,,,,Kultstätten,,,,,,,,,Kultstätte,,,,,,,,,Kultstätten,,,,,,,,,Kultstätte,,,,,,,,,Kultstätten,,,,,,,,,Kultstätte,,,,,,,,,Kultstätten,,,,,,,,
Küchengarten,Substantiv,1,m,Küchengarten,,,,,,,,,Küchengärten,,,,,,,,,Küchengartens,,,,,,,,,Küchengärten,,,,,,,,,Küchengarten,,,,,,,,,Küchengärten,,,,,,,,,Küchengarten,,,,,,,,,Küchengärten,,,,,,,,
Göffel,Substantiv,,m,Göffel,,,,,,,,,Göffel,,,,,,,,,Göffels,,,,,,,,,Göffel,,,,,,,,,Göffel,,,,,,,,,Göffeln,,,,,,,,,Göffel,,,,,,,,,Göffel,,,,,,,,
Kaktusfeige,Substantiv,,f,Kaktusfeige,,,,,,,,,Kaktusfeigen,,,,,,,,,Kaktusfeige,,,,,,,,,Kaktusfeigen,,,,,,,,,Kaktusfeige,,,,,,,,,Kaktusfeigen,,,,,,,,,Kaktusfeige,,,,,,,,,Kaktusfeigen,,,,,,,,
Eckbank,Substantiv,1,f,Eckbank,,,,,,,,,Eckbänke,,,,,,,,,Eckbank,,,,,,,,,Eckbänke,,,,,,,,,Eckbank,,,,,,,,,Eckbänken,,,,,,,,,Eckbank,,,,,,,,,Eckbänke,,,,,,,,
Buchbeutel,Substantiv,1,m,Buchbeutel,,,,,,,,,Buchbeutel,,,,,,,,,Buchbeutels,,,,,,,,,Buchbeutel,,,,,,,,,Buchbeutel,,,,,,,,,Buchbeuteln,,,,,,,,,Buchbeutel,,,,,,,,,Buchbeutel,,,,,,,,
Gasherd,Substantiv,1,m,Gasherd,,,,,,,,,Gasherde,,,,,,,,,Gasherdes,Gasherds,,,,,,,,Gasherde,,,,,,,,,Gasherd,Gasherde,,,,,,,,Gasherden,,,,,,,,,Gasherd,,,,,,,,,Gasherde,,,,,,,,
Sprungtuch,Substantiv,1,n,Sprungtuch,,,,,,,,,Sprungtücher,,,,,,,,,Sprungtuches,Sprungtuchs,,,,,,,,Sprungtücher,,,,,,,,,Sprungtuch,Sprungtuche,,,,,,,,Sprungtüchern,,,,,,,,,Sprungtuch,,,,,,,,,Sprungtücher,,,,,,,,
DVB-T-Receiver,Substantiv,,m,DVB-T-Receiver,,,,,,,,,DVB-T-Receiver,,,,,,,,,DVB-T-Receivers,,,,,,,,,DVB-T-Receiver,,,,,,,,,DVB-T-Receiver,,,,,,,,,DVB-T-Receivern,,,,,,,,,DVB-T-Receiver,,,,,,,,,DVB-T-Receiver,,,,,,,,
Schneeschippe,Substantiv,1,f,Schneeschippe,,,,,,,,,Schneeschippen,,,,,,,,,Schneeschippe,,,,,,,,,Schneeschippen,,,,,,,,,Schneeschippe,,,,,,,,,Schneeschippen,,,,,,,,,Schneeschippe,,,,,,,,,Schneeschippen,,,,,,,,
Holzstange,Substantiv,1,f,Holzstange,,,,,,,,,Holzstangen,,,,,,,,,Holzstange,,,,,,,,,Holzstangen,,,,,,,,,Holzstange,,,,,,,,,Holzstangen,,,,,,,,,Holzstange,,,,,,,,,Holzstangen,,,,,,,,
